A 夹子】
ZA 杂（杂志）
ZB 嘴巴
ZC 直尺
ZD 字典
ZE 这
ZF 张飞
ZG 诸葛
ZH 纸盒
ZI 字
ZJ 自己
ZK 钟馗
ZL 知了
ZM 芝麻
ZN 指南
ZO 座（座椅）
ZP 帐篷
ZQ 中秋
ZR 钟乳
ZS 宙斯
ZT 枕头
ZW 猪尾
ZX 纸箱
ZY 章鱼
